"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newgas_price_increase_0005-002"
"06/23/2021 11:22:52:668 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","gas-price-increase-scenario","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"11","0.005","239","[37 49 37]","[14 15 15]","[0.46 0.33 0.29]","[2.815 2.8533333333333335 2.796666666666667]","[2.3033333333333332 2.32 2.245]","[90.19289136861806 71.73131300490355 66.91080157885436]","[129.56512515356158 133.40179178422432 128.77157425157657]","[0.3983333333333333 0.455 0.495]","[0.3283333333333333 0.29833333333333334 0.31]","[0.245 0.17666666666666667 0.175]","[0.028333333333333332 0.07 0.02]","[55.04606528576372 73.2007103190251 78.39163914768629]","[1.2579994456250438 0.4507580018862649 0.30763967421006827]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[1 0 0]","[319 379 431]","[municipality community-board community-board]","[0.8483333333333334 0.9083333333333333 0.9266666666666666]","[0.8533333333333334 0.915 0.935]"
"12","0.005","239","[49 37 37]","[15 14 15]","[0.31 0.55 0.26]","[2.9133333333333336 2.75 2.8783333333333334]","[2.3466666666666667 2.3116666666666665 2.2933333333333334]","[71.76931169094397 91.49201189299504 66.31588329822358]","[134.457222536675 129.8381909721166 131.29132460389144]","[0.46166666666666667 0.4633333333333333 0.4033333333333333]","[0.315 0.27 0.39166666666666666]","[0.205 0.18833333333333332 0.195]","[0.018333333333333333 0.07833333333333334 0.01]","[73.07827717278865 53.72509949590226 78.78497740013187]","[0.7029788913002042 1.0324513975403435 0.5093582084839984]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[2 2 1]","[391 301 392]","[community-board municipality community-board]","[0.92 0.7766666666666666 0.9466666666666667]","[0.9233333333333333 0.7933333333333333 0.9516666666666667]"
"14","0.005","239","[37 49 37]","[15 15 15]","[0.41 0.33 0.4]","[2.8716666666666666 2.9383333333333335 2.841666666666667]","[2.3316666666666666 2.3583333333333334 2.2816666666666667]","[72.55733638809512 71.95867399422467 71.23251120796462]","[131.73583077118988 134.5548358491723 130.66456195213237]","[0.5033333333333333 0.365 0.46166666666666667]","[0.25333333333333335 0.35 0.20166666666666666]","[0.17166666666666666 0.24666666666666667 0.2833333333333333]","[0.07166666666666667 0.03833333333333333 0.05333333333333334]","[72.50796381687647 72.88110580450825 73.91849050253141]","[0.7256707904593102 0.792797414381826 0.2906618527813574]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 6 1]","[420 344 398]","[community-board community-board community-board]","[0.8766666666666667 0.915 0.8783333333333333]","[0.8866666666666667 0.9183333333333333 0.89]"
"13","0.005","239","[49 37 37]","[15 15 14]","[0.26 0.43 0.46]","[2.88 2.7983333333333333 2.868333333333333]","[2.3066666666666666 2.3066666666666666 2.348333333333333]","[71.48165943016998 70.91947066206086 91.30287442995407]","[133.0124495903608 131.34558264043523 131.68877769803763]","[0.5716666666666667 0.475 0.48833333333333334]","[0.25 0.22 0.2916666666666667]","[0.15666666666666668 0.20333333333333334 0.195]","[0.021666666666666667 0.10166666666666667 0.025]","[73.48151126926784 74.17704939337096 53.76619002086947]","[0.39109074312207237 0.7546047913482362 0.9894513691901379]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[0 1 2]","[418 362 307]","[community-board community-board municipality]","[0.9383333333333334 0.845 0.8383333333333334]","[0.9416666666666667 0.875 0.8483333333333334]"
"15","0.005","239","[37 37 49]","[15 14 15]","[0.32 0.53 0.34]","[2.8983333333333334 2.8316666666666666 2.88]","[2.3216666666666668 2.3466666666666667 2.35]","[69.128528141871 90.91188752120989 72.97553352670153]","[131.72748912079874 130.41202636455918 134.37403750691092]","[0.35833333333333334 0.5016666666666667 0.505]","[0.41 0.2683333333333333 0.215]","[0.18166666666666667 0.19833333333333333 0.23833333333333334]","[0.05 0.03166666666666667 0.041666666666666664]","[75.9374393951319 54.259317036292046 71.87871013941235]","[0.6788025168869173 1.7579088591037293 0.4574003659982584]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[2 2 0]","[386 303 372]","[community-board municipality community-board]","[0.9166666666666666 0.7983333333333333 0.9066666666666666]","[0.9233333333333333 0.805 0.915]"
"16","0.005","239","[37 37 49]","[14 15 15]","[0.46 0.19 0.23]","[2.933333333333333 2.861666666666667 2.865]","[2.405 2.2683333333333335 2.2716666666666665]","[93.04261985297806 65.5078252148769 68.67010838725767]","[135.12279154462124 129.72094708780506 130.0728015502334]","[0.545 0.38333333333333336 0.41833333333333333]","[0.2833333333333333 0.395 0.38166666666666665]","[0.14666666666666667 0.20833333333333334 0.17166666666666666]","[0.025 0.013333333333333334 0.028333333333333332]","[51.75172349011899 79.71866568476544 76.52823415539031]","[1.3404424356456528 0.4318043490866459 1.24188171665205]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[4 2 1]","[305 400 378]","[municipality community-board community-board]","[0.8483333333333334 0.965 0.9483333333333334]","[0.86 0.965 0.95]"
"19","0.005","239","[37 49 37]","[14 15 14]","[0.53 0.25 0.6]","[2.84 2.7933333333333334 2.8566666666666665]","[2.3466666666666667 2.2483333333333335 2.408333333333333]","[96.49035296101695 69.30726559860209 92.57932026205437]","[131.61939246471215 129.5162862487128 132.43836601558382]","[0.305 0.5016666666666667 0.2683333333333333]","[0.345 0.30666666666666664 0.3016666666666667]","[0.32166666666666666 0.15666666666666668 0.335]","[0.028333333333333332 0.035 0.095]","[48.584262308472766 75.93559816816756 52.42977712336579]","[1.1430944182009848 0.5719658924055466 2.057336522511073]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[1 0 2]","[304 397 266]","[municipality community-board municipality]","[0.81 0.94 0.7416666666666667]","[0.81 0.9416666666666667 0.7483333333333333]"
"17","0.005","239","[37 37 49]","[15 14 15]","[0.22 0.4 0.27]","[2.7683333333333335 2.8333333333333335 2.8566666666666665]","[2.225 2.3233333333333333 2.2866666666666666]","[64.46223284971407 91.46770608950524 69.5517993200379]","[126.87543083386625 131.0582148468969 130.60865421521532]","[0.37333333333333335 0.665 0.4716666666666667]","[0.4033333333333333 0.13833333333333334 0.3333333333333333]","[0.19833333333333333 0.14833333333333334 0.17]","[0.025 0.04833333333333333 0.025]","[80.99189935024341 53.65180338940958 75.60367500941146]","[0.9121343525560907 0.8818601337055978 0.8050172962857464]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[2 1 6]","[395 351 372]","[community-board municipality community-board]","[0.945 0.8666666666666667 0.925]","[0.9466666666666667 0.8916666666666667 0.93]"
"20","0.005","239","[37 49 37]","[14 14 14]","[0.46 0.4 0.57]","[2.8533333333333335 2.825 2.905]","[2.3533333333333335 2.295 2.44]","[90.71747093753366 91.46694274372591 95.51119590489036]","[130.89610127185182 130.0146137045204 135.10006847656166]","[0.4 0.61 0.47833333333333333]","[0.39666666666666667 0.21166666666666667 0.295]","[0.19166666666666668 0.14 0.20166666666666666]","[0.011666666666666667 0.03833333333333333 0.025]","[54.41500762738485 53.73605482657926 49.284965283651566]","[1.5803587772226881 1.6223916936294815 1.5201681281222255]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[1 3 0]","[320 337 285]","[municipality municipality municipality]","[0.8466666666666667 0.8633333333333333 0.7683333333333333]","[0.8516666666666667 0.8833333333333333 0.79]"
"18","0.005","239","[37 37 49]","[15 14 15]","[0.22 0.49 0.37]","[2.7716666666666665 2.756666666666667 2.736666666666667]","[2.223333333333333 2.2783333333333333 2.2533333333333334]","[65.89025061392886 90.29251841401748 71.91740850915419]","[128.10762141684316 129.49159735244646 129.9027211477614]","[0.43333333333333335 0.48 0.5416666666666666]","[0.4 0.2683333333333333 0.22666666666666666]","[0.16166666666666665 0.22 0.14833333333333334]","[0.005 0.03166666666666667 0.08333333333333333]","[79.46530633939037 54.95232046445344 73.29454046569158]","[0.26526291158344256 0.9349946677027605 0.6601558264592569]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[3 2 0]","[448 328 368]","[community-board municipality community-board]","[0.9466666666666667 0.8316666666666667 0.8833333333333333]","[0.9533333333333334 0.84 0.8966666666666666]"
