"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newco2_price_increase_001-002-003"
"06/23/2021 12:14:44:867 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"10","0.001","239","[37 37 37]","[14 14 15]","[0.56 0.59 0.32]","[2.8633333333333333 2.88 2.908333333333333]","[2.38 2.4266666666666667 2.325]","[108.42268948573847 110.72201148444195 79.5874440887632]","[134.04555310135999 135.60246498613225 132.20371174164572]","[0.4 0.4166666666666667 0.42]","[0.3566666666666667 0.3233333333333333 0.38]","[0.20166666666666666 0.22 0.18]","[0.041666666666666664 0.04 0.02]","[79.13783293281926 76.71395798333407 108.1204256385718]","[0.37401065141492695 1.0884313728002246 0.29336221679758506]","[0 0 0]","[1 1 0]","[0 0 1]","[0 0 0]","[1 2 4]","[373 331 456]","[municipality municipality community-board]","[0.7833333333333333 0.755 0.93]","[0.795 0.7616666666666667 0.93]"
"13","0.001","239","[37 37 37]","[14 14 15]","[0.49 0.47 0.21]","[2.87 2.865 2.8133333333333335]","[2.37 2.3533333333333335 2.2616666666666667]","[105.98592890381018 104.98525193472443 74.88945054382772]","[133.29713687514246 132.66914610721423 129.66196526766268]","[0.5166666666666667 0.41 0.4116666666666667]","[0.24166666666666667 0.3383333333333333 0.38166666666666665]","[0.19333333333333333 0.225 0.18666666666666668]","[0.04833333333333333 0.02666666666666667 0.02]","[81.63446681284536 82.68538304336506 113.021758901426]","[0.28269775421719623 0.8062445520755288 0.7199882721943585]","[0 0 0]","[1 1 0]","[0 0 1]","[0 0 0]","[3 2 3]","[401 370 454]","[municipality municipality community-board]","[0.8233333333333334 0.845 0.955]","[0.835 0.85 0.955]"
"12","0.001","239","[37 37 37]","[14 15 15]","[0.45 0.34 0.34]","[2.83 2.8866666666666667 2.888333333333333]","[2.3583333333333334 2.34 2.3266666666666667]","[103.75484546072293 80.2547922806968 80.36053467550173]","[132.44964125722635 132.8808582004393 132.63028103221868]","[0.485 0.2783333333333333 0.4683333333333333]","[0.235 0.435 0.2783333333333333]","[0.23833333333333334 0.25166666666666665 0.2]","[0.041666666666666664 0.035 0.05333333333333334]","[83.93334990536579 107.39890572993455 107.31320950858749]","[0.4402675826779001 0.3712244383642636 0.2730944137018897]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[2 1 4]","[389 437 420]","[municipality community-board community-board]","[0.84 0.9016666666666666 0.905]","[0.8533333333333334 0.91 0.9116666666666666]"
"14","0.001","239","[37 37 37]","[15 14 15]","[0.33 0.49 0.23]","[2.888333333333333 2.808333333333333 2.828333333333333]","[2.335 2.33 2.2666666666666666]","[78.89585171056996 104.46042170960408 76.08673901675725]","[131.58555301486754 132.14917666333895 130.01684187768114]","[0.395 0.5916666666666667 0.44333333333333336]","[0.3283333333333333 0.17333333333333334 0.3383333333333333]","[0.23 0.15333333333333332 0.205]","[0.04666666666666667 0.08166666666666667 0.013333333333333334]","[108.86147071490728 83.2518108239955 111.79608029969503]","[0.8007012714246982 0.35955588867114036 0.3056898637926711]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[1 1 1]","[437 389 440]","[community-board municipality community-board]","[0.9133333333333333 0.8 0.94]","[0.9183333333333333 0.8333333333333334 0.945]"
"15","0.001","239","[37 37 37]","[15 15 15]","[0.22 0.27 0.24]","[2.9316666666666666 2.861666666666667 2.82]","[2.328333333333333 2.2983333333333333 2.27]","[76.58587926016453 78.48099229686069 75.01555775789734]","[132.54720370187835 131.1590667075434 129.21712683532064]","[0.4533333333333333 0.63 0.43833333333333335]","[0.315 0.17 0.3433333333333333]","[0.21333333333333335 0.16833333333333333 0.20666666666666667]","[0.018333333333333333 0.03166666666666667 0.011666666666666667]","[111.09451111035192 109.31044903320256 112.93123876194359]","[0.2817237766923262 0.2436027287873103 0.8949229821229958]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 5 4]","[447 437 439]","[community-board community-board community-board]","[0.9516666666666667 0.93 0.9466666666666667]","[0.9516666666666667 0.9333333333333333 0.9466666666666667]"
"16","0.001","239","[37 37 37]","[14 15 14]","[0.53 0.4 0.5]","[2.8916666666666666 2.8316666666666666 2.8216666666666668]","[2.4033333333333333 2.2916666666666665 2.3383333333333334]","[107.68103677693 83.36266223989506 105.30538060189275]","[135.35883912288688 130.75724901409774 132.9355335784729]","[0.36 0.34 0.405]","[0.4033333333333333 0.2866666666666667 0.3566666666666667]","[0.22666666666666666 0.3283333333333333 0.21833333333333332]","[0.01 0.045 0.02]","[79.77442275990579 104.46092450564376 82.34394337849602]","[0.4297049078894131 0.4199427961461146 0.40240978424934026]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[2 3 1]","[349 397 363]","[municipality community-board municipality]","[0.7983333333333333 0.885 0.8166666666666667]","[0.8083333333333333 0.8883333333333333 0.8283333333333334]"
"17","0.001","239","[37 37 37]","[15 15 15]","[0.24 0.35 0.36]","[2.89 2.776666666666667 2.9166666666666665]","[2.308333333333333 2.2733333333333334 2.3566666666666665]","[76.56653060676855 80.42663643736023 80.9985293587951]","[131.45124477316344 129.62742422726856 134.71418961723856]","[0.5233333333333333 0.335 0.3566666666666667]","[0.30666666666666664 0.31666666666666665 0.365]","[0.13333333333333333 0.26666666666666666 0.245]","[0.03666666666666667 0.08166666666666667 0.03333333333333333]","[111.20153647804496 107.48733629112498 106.50850213849243]","[0.47151271077591245 0.6456122228843729 0.3035254544176005]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 2 3]","[458 413 430]","[community-board community-board community-board]","[0.94 0.9016666666666666 0.9]","[0.9483333333333334 0.9016666666666666 0.9133333333333333]"
"19","0.001","239","[37 37 37]","[14 15 15]","[0.54 0.27 0.25]","[2.995 2.8666666666666667 2.8733333333333335]","[2.47 2.3133333333333335 2.2916666666666665]","[109.68889448882656 77.78838189982771 76.80420584383391]","[137.64504968414707 132.17747150326753 130.46201768967762]","[0.39666666666666667 0.55 0.39]","[0.3333333333333333 0.27 0.36666666666666664]","[0.255 0.16333333333333333 0.22]","[0.015 0.016666666666666666 0.023333333333333334]","[77.58366820310823 109.92158704657754 111.04299940765848]","[0.5443904552777822 0.5247328597271723 0.41368015210969755]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[1 0 1]","[360 439 445]","[municipality community-board community-board]","[0.7983333333333333 0.9366666666666666 0.9416666666666667]","[0.8083333333333333 0.9383333333333334 0.9433333333333334]"
"18","0.001","239","[37 37 37]","[15 15 15]","[0.35 0.28 0.29]","[2.835 2.9166666666666665 2.8916666666666666]","[2.29 2.35 2.3266666666666667]","[82.79588821687301 78.05500160348817 77.69864856352271]","[130.8389517260292 133.02024162609717 132.01799466135648]","[0.5016666666666667 0.45 0.3616666666666667]","[0.25 0.3283333333333333 0.38333333333333336]","[0.23 0.19166666666666668 0.225]","[0.018333333333333333 0.03 0.03]","[105.02116231171127 109.58754573309056 110.02407853023553]","[0.4428035251711064 0.5479412939436041 0.6298337641164421]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 4 4]","[412 434 424]","[community-board community-board community-board]","[0.8983333333333333 0.9266666666666666 0.9316666666666666]","[0.9033333333333333 0.93 0.9333333333333333]"
"20","0.001","239","[37 37 37]","[15 15 15]","[0.3 0.27 0.24]","[2.925 2.76 2.8966666666666665]","[2.341666666666667 2.2283333333333335 2.3183333333333334]","[78.86531777303271 76.45747154260862 76.76094158908941]","[133.23676085894354 128.49054703515267 131.65365345486256]","[0.42 0.54 0.375]","[0.31666666666666665 0.255 0.42833333333333334]","[0.21 0.18833333333333332 0.18833333333333332]","[0.05333333333333334 0.016666666666666666 0.008333333333333333]","[108.75990802491849 111.54745136124578 110.9909328011881]","[0.3098568680091189 0.4353437444409388 0.5889749351936979]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 2 0]","[443 442 458]","[community-board community-board community-board]","[0.9266666666666666 0.9316666666666666 0.94]","[0.9283333333333333 0.9366666666666666 0.945]"
