"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newinfo_exchange_5_7_9"
"06/23/2021 10:40:56:416 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","information-exchange-period","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"11","5","239","[37 37 37]","[13 13 13]","[0.19 0.33 0.25]","[2.7333333333333334 2.89 2.8016666666666667]","[2.171666666666667 2.3216666666666668 2.2533333333333334]","[74.77838255852188 80.88659263158483 76.54197972133825]","[125.98662346452946 131.28236491175352 129.28938236811905]","[0.43333333333333335 0.3433333333333333 0.39]","[0.36333333333333334 0.35 0.365]","[0.19333333333333333 0.26166666666666666 0.215]","[0.01 0.045 0.03]","[115.20518756431566 108.67331817547492 113.17736968921214]","[0.47591881942376796 0.5797144036522011 0.46962091147662555]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 0 2]","[461 439 461]","[community-board community-board community-board]","[0.96 0.9083333333333333 0.935]","[0.96 0.915 0.9433333333333334]"
"12","5","239","[25 37 37]","[12 13 13]","[0.52 0.25 0.27]","[2.8216666666666668 2.841666666666667 2.796666666666667]","[2.3433333333333333 2.2866666666666666 2.2416666666666667]","[105.88509048043575 77.82609016284854 78.67727077632937]","[131.5965924122262 129.7561619284987 129.1369269906239]","[0.38166666666666665 0.43333333333333335 0.43333333333333335]","[0.42333333333333334 0.33 0.38]","[0.185 0.205 0.16666666666666666]","[0.01 0.03166666666666667 0.02]","[83.64968212658616 111.85591688287154 111.05427506442086]","[0.27184468720952987 0.5767831273253984 0.2667084024284527]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[2 3 1]","[375 442 433]","[municipality community-board community-board]","[0.8266666666666667 0.9416666666666667 0.93]","[0.8283333333333334 0.9433333333333334 0.9383333333333334]"
"15","5","239","[25 37 37]","[12 13 13]","[0.55 0.37 0.37]","[2.7683333333333335 2.875 2.87]","[2.3016666666666667 2.32 2.3333333333333335]","[105.92406461223445 82.04599642409832 83.5069003455532]","[130.22618675460092 130.9133491987439 132.01150370336237]","[0.3566666666666667 0.46166666666666667 0.31]","[0.39166666666666666 0.19833333333333333 0.37166666666666665]","[0.22666666666666666 0.26 0.29333333333333333]","[0.025 0.08 0.025]","[83.72034044739738 107.5434356400023 105.99467935817775]","[0.4357454773752126 0.45904199959753866 0.4886587993259803]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[3 2 2]","[336 402 412]","[municipality community-board community-board]","[0.7733333333333333 0.895 0.8983333333333333]","[0.785 0.8983333333333333 0.9]"
"13","5","239","[37 37 25]","[13 13 12]","[0.21 0.33 0.45]","[2.763333333333333 2.915 2.8466666666666667]","[2.2116666666666664 2.348333333333333 2.3233333333333333]","[75.57557132990277 82.73508556705183 103.85232600800525]","[128.43167419394933 133.58657259216844 131.44800972575987]","[0.415 0.35 0.39]","[0.37833333333333335 0.3416666666666667 0.28]","[0.19666666666666666 0.29333333333333333 0.2783333333333333]","[0.01 0.015 0.051666666666666666]","[114.21239473458115 106.6404886255748 85.69433321393396]","[0.4696555487024226 0.4170721824867276 0.445233824664075]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[2 1 4]","[447 424 390]","[community-board community-board municipality]","[0.96 0.9066666666666666 0.8483333333333334]","[0.9616666666666667 0.9133333333333333 0.86]"
"14","5","239","[49 25 37]","[13 12 13]","[0.24 0.49 0.21]","[2.7733333333333334 2.8033333333333332 2.8366666666666664]","[2.225 2.316666666666667 2.243333333333333]","[80.98612695050295 102.43430732829039 75.53938847731773]","[129.07637426264247 130.13813456444004 128.59785132542157]","[0.53 0.315 0.465]","[0.26166666666666666 0.3433333333333333 0.31333333333333335]","[0.17666666666666667 0.2916666666666667 0.19166666666666668]","[0.03166666666666667 0.05 0.03]","[108.75026310848553 87.21714190655445 114.23528341664847]","[0.6737643618962259 0.48082260141248684 0.482245008166054]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[3 3 2]","[453 351 431]","[community-board municipality community-board]","[0.9233333333333333 0.835 0.9533333333333334]","[0.9383333333333334 0.8383333333333334 0.9566666666666667]"
"16","5","239","[25 37 25]","[12 13 12]","[0.47 0.27 0.54]","[2.881666666666667 2.9183333333333334 2.841666666666667]","[2.3566666666666665 2.3333333333333335 2.37]","[105.17739947911117 79.70762065096737 107.46420724350389]","[132.63299180530447 132.48192856199202 133.03100706750655]","[0.46 0.38666666666666666 0.41]","[0.31166666666666665 0.3383333333333333 0.28833333333333333]","[0.18666666666666668 0.22166666666666668 0.255]","[0.041666666666666664 0.05333333333333334 0.04666666666666667]","[84.27446117646446 109.75632506407335 81.95581219109556]","[0.3355886781883765 0.5491270889231892 0.476459449773717]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[0 1 4]","[399 423 363]","[municipality community-board municipality]","[0.8433333333333334 0.935 0.7966666666666666]","[0.8533333333333334 0.9383333333333334 0.81]"
"17","5","239","[49 25 37]","[13 12 13]","[0.35 0.47 0.34]","[2.9166666666666665 2.78 2.7866666666666666]","[2.345 2.2916666666666665 2.2683333333333335]","[86.53896395297522 102.28505061787732 81.11754046985882]","[134.17171435531174 129.18028882532596 129.65394698920625]","[0.48333333333333334 0.40166666666666667 0.37166666666666665]","[0.215 0.21333333333333335 0.37]","[0.20833333333333334 0.3283333333333333 0.23333333333333334]","[0.09333333333333334 0.056666666666666664 0.025]","[102.78979889859973 87.44302627609653 108.57264377100469]","[0.5485498420185154 0.46686557086845265 0.30609579270102333]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[0 2 1]","[408 395 448]","[community-board municipality community-board]","[0.8983333333333333 0.85 0.9133333333333333]","[0.9066666666666666 0.855 0.92]"
"18","5","239","[25 25 37]","[12 12 13]","[0.46 0.48 0.42]","[2.8966666666666665 2.79 2.9]","[2.3666666666666667 2.3033333333333332 2.3516666666666666]","[103.85559950367617 102.66202407827112 85.3016030706038]","[132.25829086447808 129.25707496043162 132.9652845315884]","[0.44666666666666666 0.44166666666666665 0.43833333333333335]","[0.355 0.26 0.24333333333333335]","[0.17833333333333334 0.23333333333333334 0.2633333333333333]","[0.02 0.065 0.055]","[85.62623722716555 87.05990992489443 104.1236741668691]","[0.37887168725809917 0.651545594428737 0.4570758379308245]","[0 0 0]","[1 1 0]","[0 0 1]","[0 0 0]","[3 0 1]","[388 382 404]","[municipality municipality community-board]","[0.85 0.8216666666666667 0.875]","[0.86 0.8433333333333334 0.8833333333333333]"
"19","5","239","[37 25 37]","[13 12 13]","[0.22 0.41 0.34]","[2.835 2.9316666666666666 2.816666666666667]","[2.2516666666666665 2.3766666666666665 2.285]","[77.07722346421554 103.28699677214989 79.38006722020619]","[129.2506786670125 132.96036981155208 129.66856604663093]","[0.38666666666666666 0.37833333333333335 0.36833333333333335]","[0.3283333333333333 0.375 0.36833333333333335]","[0.26 0.22 0.245]","[0.025 0.02666666666666667 0.018333333333333333]","[112.64522224242354 86.13867364292578 110.30894749606341]","[0.3294562492397657 0.9554124902358841 0.6208941771655686]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[0 0 1]","[435 392 424]","[community-board municipality community-board]","[0.9516666666666667 0.875 0.9083333333333333]","[0.9533333333333334 0.8816666666666667 0.9133333333333333]"
"20","5","239","[25 37 37]","[12 13 13]","[0.52 0.36 0.35]","[2.83 2.7883333333333336 2.8366666666666664]","[2.34 2.2816666666666667 2.283333333333333]","[106.31898493072299 81.5510789528307 81.75885576565447]","[131.64210552307253 129.77959743139147 130.8042468385703]","[0.49166666666666664 0.33166666666666667 0.3933333333333333]","[0.25166666666666665 0.265 0.30833333333333335]","[0.19666666666666666 0.34833333333333333 0.225]","[0.06 0.055 0.07333333333333333]","[83.21214662743131 108.12905325265817 107.83930448726]","[0.259704488624148 0.44325435242067274 0.3652048138442756]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[1 4 3]","[377 406 417]","[municipality community-board community-board]","[0.8116666666666666 0.8883333333333333 0.9016666666666666]","[0.825 0.9016666666666666 0.905]"
