"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newnu_of_links_2_3_4"
"06/23/2021 11:38:10:110 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-links","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"11","2","239","[37 37 37]","[15 15 14]","[0.24 0.34 0.48]","[2.8866666666666667 2.94 2.8]","[2.296666666666667 2.35 2.316666666666667]","[78.18560053922906 80.28795688722037 104.68141924764774]","[131.1013796737327 132.8830002913524 130.88631938457226]","[0.48833333333333334 0.48 0.42833333333333334]","[0.2966666666666667 0.26 0.305]","[0.18 0.20666666666666667 0.21666666666666667]","[0.035 0.05333333333333334 0.05]","[111.38878908687232 109.14390308947145 84.91017520158648]","[0.3614971692754571 0.369746605607476 0.5948964186317023]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[2 2 3]","[418 406 383]","[community-board community-board municipality]","[0.9416666666666667 0.9133333333333333 0.83]","[0.945 0.9233333333333333 0.8433333333333334]"
"13","2","239","[37 37 37]","[15 15 14]","[0.36 0.38 0.43]","[2.8366666666666664 2.8516666666666666 2.868333333333333]","[2.29 2.31 2.3183333333333334]","[81.81175917704027 83.7113102685958 101.95293545828297]","[129.91648668587663 131.63319687873866 131.22150535774188]","[0.47 0.4266666666666667 0.3283333333333333]","[0.23833333333333334 0.27 0.33166666666666667]","[0.19333333333333333 0.255 0.31166666666666665]","[0.09833333333333333 0.04833333333333333 0.028333333333333332]","[107.85742188808966 105.82053398110533 87.61184411309772]","[0.4110406942138183 0.9092560878402316 0.7841731387017123]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 1]","[3 2 1]","[408 412 358]","[community-board community-board municipality]","[0.8983333333333333 0.89 0.8633333333333333]","[0.9016666666666666 0.9016666666666666 0.8666666666666667]"
"12","2","239","[37 37 37]","[15 15 14]","[0.29 0.27 0.46]","[2.8 2.93 2.8783333333333334]","[2.26 2.3433333333333333 2.355]","[78.48168217630317 78.41267279283305 106.33754040421768]","[129.6638850330193 133.15966219023986 133.44414437873812]","[0.365 0.4083333333333333 0.405]","[0.37666666666666665 0.34833333333333333 0.3516666666666667]","[0.23 0.19666666666666666 0.22666666666666666]","[0.028333333333333332 0.04666666666666667 0.016666666666666666]","[111.20770702105536 110.99705423194779 83.04942804548317]","[0.22357379610041778 0.35699967579411435 0.37095359900865627]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[4 4 3]","[403 423 395]","[community-board community-board municipality]","[0.9333333333333333 0.9316666666666666 0.8516666666666667]","[0.9333333333333333 0.935 0.8533333333333334]"
"14","2","239","[37 37 37]","[15 15 14]","[0.28 0.22 0.52]","[2.865 2.83 2.8666666666666667]","[2.315 2.2683333333333335 2.3983333333333334]","[78.95920366480225 76.1400812464445 107.79625241024681]","[132.07243721824503 129.80019804424654 133.69395529888288]","[0.405 0.3016666666666667 0.2866666666666667]","[0.355 0.4 0.43333333333333335]","[0.22 0.2816666666666667 0.27]","[0.02 0.016666666666666666 0.01]","[110.53750135773825 113.53840291001563 81.57073116584256]","[0.32949419568767935 0.4090957806425184 0.8522000973028893]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[0 3 2]","[425 426 340]","[community-board community-board municipality]","[0.9333333333333333 0.95 0.8066666666666666]","[0.94 0.9516666666666667 0.8133333333333334]"
"15","2","239","[37 37 37]","[15 14 15]","[0.35 0.41 0.29]","[2.835 2.88 2.87]","[2.2866666666666666 2.3566666666666665 2.328333333333333]","[80.52886862117157 106.09911704215197 79.7111738603054]","[130.23650632579924 133.74812639242924 132.10614335563395]","[0.39166666666666666 0.4066666666666667 0.495]","[0.3883333333333333 0.4033333333333333 0.30666666666666664]","[0.17833333333333334 0.16666666666666666 0.16833333333333333]","[0.041666666666666664 0.023333333333333334 0.03]","[109.11471087276452 83.26353284645387 109.78283467124385]","[0.5487557444285381 1.0709377601865948 0.30087533884173895]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[3 1 1]","[431 406 418]","[community-board municipality community-board]","[0.9066666666666666 0.88 0.9233333333333333]","[0.9133333333333333 0.8866666666666667 0.9283333333333333]"
"16","2","239","[37 37 37]","[15 15 15]","[0.21 0.26 0.38]","[2.845 2.808333333333333 2.828333333333333]","[2.2866666666666666 2.2533333333333334 2.2783333333333333]","[77.11114469555085 77.84489717359332 83.68060371432694]","[130.53526984571516 128.83607411796396 130.06102948423361]","[0.3283333333333333 0.48 0.4266666666666667]","[0.42 0.29333333333333333 0.28]","[0.23166666666666666 0.19166666666666668 0.25333333333333335]","[0.02 0.035 0.04]","[112.50853371679182 111.91071689696963 105.97701392693429]","[0.38573167038357326 0.5428833868039302 0.25913803013659065]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 4 2]","[418 415 409]","[community-board community-board community-board]","[0.9516666666666667 0.9383333333333334 0.8883333333333333]","[0.9533333333333334 0.94 0.8933333333333333]"
"17","2","239","[37 37 37]","[14 15 15]","[0.45 0.35 0.24]","[2.88 2.915 2.861666666666667]","[2.3583333333333334 2.365 2.2783333333333333]","[105.89033297393098 81.90609055505047 78.64722104073986]","[133.80799306060112 133.9606318664804 129.98970477491616]","[0.37833333333333335 0.4066666666666667 0.4683333333333333]","[0.355 0.2633333333333333 0.33]","[0.235 0.2916666666666667 0.18166666666666667]","[0.03166666666666667 0.03833333333333333 0.02]","[83.46752758122095 107.43955889563107 111.01610257726695]","[0.39843543918585006 0.4542869958209228 0.2966787933843154]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[1 1 1]","[383 382 439]","[municipality community-board community-board]","[0.855 0.8916666666666667 0.945]","[0.8633333333333333 0.905 0.945]"
"19","2","239","[37 37 37]","[14 14 15]","[0.44 0.43 0.26]","[2.868333333333333 2.895 2.93]","[2.33 2.37 2.355]","[104.636777124138 105.34590553429396 79.71221592805865]","[131.65005934299097 133.61371114808867 133.93417448513145]","[0.4683333333333333 0.44666666666666666 0.30666666666666664]","[0.29333333333333333 0.37166666666666665 0.41333333333333333]","[0.20666666666666667 0.17 0.25333333333333335]","[0.03166666666666667 0.011666666666666667 0.02666666666666667]","[84.89371812842275 84.02749757385894 109.63555011313083]","[0.3411053474726768 0.7587982035689661 0.6577497880133522]","[0 0 0]","[1 1 0]","[0 0 1]","[0 0 0]","[7 4 2]","[356 392 428]","[municipality municipality community-board]","[0.8533333333333334 0.8683333333333333 0.9366666666666666]","[0.8633333333333333 0.875 0.9383333333333334]"
"18","2","239","[37 37 37]","[15 15 15]","[0.23 0.31 0.35]","[2.8633333333333333 2.8716666666666666 2.8333333333333335]","[2.2883333333333336 2.3233333333333333 2.32]","[77.6300665841636 79.24077366014869 82.03982669847991]","[129.75284882185943 132.87179337959387 132.1382044844168]","[0.5483333333333333 0.42833333333333334 0.4766666666666667]","[0.24 0.29333333333333333 0.26666666666666666]","[0.19 0.22666666666666666 0.17833333333333334]","[0.021666666666666667 0.051666666666666666 0.07833333333333334]","[112.05220551008772 110.19198286948361 107.45161694276676]","[0.48368523284146087 0.29567496652888364 0.3777993897385444]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[10 0 5]","[422 398 432]","[community-board community-board community-board]","[0.9416666666666667 0.915 0.9133333333333333]","[0.945 0.9233333333333333 0.9183333333333333]"
"21","2","239","[37 37 37]","[15 15 14]","[0.27 0.23 0.38]","[2.815 2.808333333333333 2.8516666666666666]","[2.276666666666667 2.2533333333333334 2.308333333333333]","[78.11321345296562 76.36106826791305 102.18037579006773]","[130.47037774309499 129.2835715355277 131.40050217529614]","[0.5 0.355 0.4633333333333333]","[0.3016666666666667 0.42 0.28833333333333333]","[0.15666666666666668 0.195 0.20666666666666667]","[0.041666666666666664 0.03 0.041666666666666664]","[111.5116563275869 113.35874600924487 87.3700840359087]","[0.43235226771569596 0.38445670680503613 0.5782922180229163]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[0 2 1]","[427 419 394]","[community-board community-board municipality]","[0.9333333333333333 0.9483333333333334 0.8883333333333333]","[0.94 0.9483333333333334 0.9016666666666666]"
