"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newpercentage_per_svo_10_15_20"
"06/23/2021 10:58:07:551 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","percentage-loss-per-svo","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"13","10","239","[37 37 37]","[15 15 15]","[0.27 0.22 0.28]","[2.8366666666666664 2.795 2.84]","[2.296666666666667 2.2616666666666667 2.2916666666666665]","[79.13980703184744 76.84730924983972 79.7487115618628]","[131.1856350638954 129.23156239828603 130.65825012517163]","[0.44333333333333336 0.48833333333333334 0.49]","[0.305 0.32 0.2733333333333333]","[0.20833333333333334 0.18333333333333332 0.19]","[0.043333333333333335 0.008333333333333333 0.04666666666666667]","[110.42784216304099 112.87666575829743 109.86112842812345]","[0.4537103577577464 0.6815864877194876 0.3279999582905642]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[4 2 1]","[421 438 444]","[community-board community-board community-board]","[0.935 0.9416666666666667 0.93]","[0.935 0.9516666666666667 0.9316666666666666]"
"15","10","239","[37 37 37]","[15 15 14]","[0.37 0.23 0.44]","[2.901666666666667 2.89 2.7583333333333333]","[2.3566666666666665 2.316666666666667 2.2533333333333334]","[82.8535019835943 77.73623946684856 102.53190722772145]","[134.0887660581909 132.5243175875297 128.89683812845269]","[0.32166666666666666 0.41333333333333333 0.3433333333333333]","[0.37 0.35333333333333333 0.41833333333333333]","[0.2833333333333333 0.22 0.21666666666666667]","[0.025 0.013333333333333334 0.021666666666666667]","[106.48189673175045 111.7243151261491 87.21884572200231]","[0.3156681196069149 0.3626360054256627 0.533039869697413]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[1 2 1]","[420 439 382]","[community-board community-board municipality]","[0.895 0.9483333333333334 0.855]","[0.9066666666666666 0.9483333333333334 0.8583333333333333]"
"11","10","239","[37 37 37]","[14 15 14]","[0.37 0.24 0.54]","[2.8633333333333333 2.828333333333333 2.868333333333333]","[2.32 2.263333333333333 2.385]","[103.40721514439802 78.01011574175989 109.3978053431592]","[132.15987393878467 129.56818616679908 134.3426709837465]","[0.5116666666666667 0.44166666666666665 0.37166666666666665]","[0.245 0.36833333333333335 0.34]","[0.195 0.16666666666666666 0.24666666666666667]","[0.04833333333333333 0.023333333333333334 0.041666666666666664]","[86.0824949404992 111.68692936489619 79.91728097814104]","[0.32792954428685356 0.2633532587337308 0.5421138365103851]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[2 2 2]","[411 458 361]","[municipality community-board municipality]","[0.88 0.9433333333333334 0.8]","[0.8916666666666667 0.945 0.8033333333333333]"
"12","10","239","[37 37 37]","[15 15 15]","[0.28 0.19 0.33]","[2.861666666666667 2.9316666666666666 2.88]","[2.3016666666666667 2.3366666666666664 2.3433333333333333]","[78.79524694198389 76.174296235533 82.58809610525826]","[131.53674084545045 132.79900085510036 133.12395969526415]","[0.4816666666666667 0.4866666666666667 0.5166666666666667]","[0.33166666666666667 0.32 0.25333333333333335]","[0.16333333333333333 0.17833333333333334 0.19833333333333333]","[0.023333333333333334 0.015 0.03166666666666667]","[110.74431379038009 113.26428369605887 106.82448711912065]","[0.38698848907552846 0.3833668920842543 0.42138489066891616]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 5 2]","[442 437 417]","[community-board community-board community-board]","[0.9183333333333333 0.9666666666666667 0.9116666666666666]","[0.9316666666666666 0.9666666666666667 0.9183333333333333]"
"14","10","239","[37 37 37]","[15 15 15]","[0.22 0.38 0.23]","[2.8 2.8933333333333335 2.9116666666666666]","[2.2583333333333333 2.3316666666666666 2.3133333333333335]","[76.83859263627933 85.1623196405937 77.44850953718837]","[129.75600752956717 132.99245563273894 131.89926816579336]","[0.5066666666666667 0.4083333333333333 0.405]","[0.31 0.15 0.37166666666666665]","[0.17333333333333334 0.30666666666666664 0.20166666666666666]","[0.01 0.135 0.021666666666666667]","[112.84342676135535 104.26078390878718 112.06204900954808]","[0.2970870069374543 0.32460945006776604 0.3231157763571734]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 1 2]","[459 416 449]","[community-board community-board community-board]","[0.945 0.8866666666666667 0.95]","[0.9516666666666667 0.8966666666666666 0.95]"
"16","10","239","[37 37 37]","[15 14 14]","[0.29 0.55 0.56]","[2.8266666666666667 2.915 2.8366666666666664]","[2.283333333333333 2.421666666666667 2.385]","[79.92371557071843 109.81217226141764 109.68646949867315]","[131.3955707652029 135.58267751998244 134.25239337256733]","[0.4266666666666667 0.42333333333333334 0.3983333333333333]","[0.30666666666666664 0.29833333333333334 0.2966666666666667]","[0.24166666666666667 0.23166666666666666 0.25166666666666665]","[0.025 0.04666666666666667 0.05333333333333334]","[109.62713876806549 79.4037135369838 79.63583903152147]","[0.2749251801499767 0.6534387150598593 0.43742455000948016]","[0 0 0]","[0 1 1]","[1 0 0]","[0 0 0]","[2 2 0]","[441 350 351]","[community-board municipality municipality]","[0.9316666666666666 0.8016666666666666 0.7833333333333333]","[0.935 0.805 0.7933333333333333]"
"17","10","239","[37 37 37]","[15 15 15]","[0.18 0.28 0.4]","[2.8716666666666666 2.845 2.8266666666666667]","[2.2816666666666667 2.2783333333333333 2.3033333333333332]","[76.24897482002521 77.1314163342021 85.03684328492639]","[130.58790179227185 129.69988765722746 130.9039972159107]","[0.5266666666666666 0.43833333333333335 0.27]","[0.305 0.31666666666666665 0.31]","[0.15166666666666667 0.21166666666666667 0.3283333333333333]","[0.016666666666666666 0.03333333333333333 0.09166666666666666]","[113.36649303659311 112.55509265321983 104.55333693780084]","[0.27982815943540756 0.5614807427005136 0.5058893203351937]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 2 1]","[450 442 409]","[community-board community-board community-board]","[0.9616666666666667 0.9366666666666666 0.875]","[0.9633333333333334 0.9383333333333334 0.8783333333333333]"
"20","10","239","[37 37 37]","[15 15 14]","[0.36 0.33 0.49]","[2.841666666666667 2.8916666666666666 2.85]","[2.3 2.3383333333333334 2.3533333333333335]","[82.64078725467701 80.91922750449578 106.70972252272266]","[130.91612338801957 132.81552681139328 132.80483808717358]","[0.48 0.45666666666666667 0.6083333333333333]","[0.27 0.31166666666666665 0.15333333333333332]","[0.21 0.20666666666666667 0.18166666666666667]","[0.04 0.025 0.056666666666666664]","[106.94842287428139 108.51803035059291 82.72839043030348]","[0.26018339274471897 0.5411173093509094 0.2931144949227298]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[1 0 1]","[430 435 377]","[community-board community-board municipality]","[0.895 0.915 0.8066666666666666]","[0.9 0.9233333333333333 0.8316666666666667]"
"19","10","239","[37 37 37]","[15 15 14]","[0.32 0.31 0.51]","[2.868333333333333 2.8833333333333333 2.9283333333333332]","[2.3066666666666666 2.345 2.3966666666666665]","[81.06145402147496 80.07282872008128 106.95438244201682]","[131.09495375165628 133.36117729066768 133.86689262613203]","[0.41 0.505 0.40166666666666667]","[0.2816666666666667 0.25833333333333336 0.385]","[0.2816666666666667 0.20333333333333334 0.19833333333333333]","[0.02666666666666667 0.03333333333333333 0.015]","[108.5134496783926 109.32077709666535 82.3987661478926]","[0.5185638134847856 0.2828637833414198 0.6749988366015934]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[4 2 1]","[407 425 374]","[community-board community-board municipality]","[0.91 0.92 0.82]","[0.9166666666666666 0.9233333333333333 0.8233333333333334]"
"18","10","239","[37 37 37]","[15 15 15]","[0.37 0.3 0.29]","[2.8516666666666666 2.8183333333333334 2.89]","[2.3183333333333334 2.2883333333333336 2.34]","[82.9781473598539 79.53178477696638 80.29275015889004]","[132.08564640020614 131.16864848487694 132.78648381352116]","[0.4083333333333333 0.4716666666666667 0.3466666666666667]","[0.33166666666666667 0.26166666666666666 0.32]","[0.22666666666666666 0.22666666666666666 0.30333333333333334]","[0.03333333333333333 0.04 0.03]","[106.51750092812958 110.03722334424343 109.14683113602842]","[0.6751993857737127 0.27513485481429045 0.4757400654610976]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 1 1]","[427 440 422]","[community-board community-board community-board]","[0.8983333333333333 0.925 0.9183333333333333]","[0.9066666666666666 0.93 0.925]"
"22","10","239","[37 37 37]","[14 14 15]","[0.48 0.47 0.27]","[2.9433333333333334 2.9283333333333332 2.805]","[2.4133333333333336 2.4 2.2516666666666665]","[107.60376638248209 106.79946292293646 79.76218939020285]","[134.95965007521627 135.23599827562734 129.69183521450282]","[0.47833333333333333 0.45 0.6083333333333333]","[0.3433333333333333 0.36 0.20333333333333334]","[0.16166666666666665 0.16 0.15166666666666667]","[0.016666666666666666 0.03 0.03666666666666667]","[81.66196161150064 82.44415721501345 109.92496379263687]","[0.9848101226169231 0.5044281757361615 0.19533320061585407]","[0 0 0]","[1 1 0]","[0 0 1]","[0 0 0]","[2 0 6]","[397 365 442]","[municipality municipality community-board]","[0.8266666666666667 0.8333333333333334 0.9316666666666666]","[0.8433333333333334 0.8433333333333334 0.9316666666666666]"
